<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20170709,043000,37870,37870,37825,37835,1
20170710,043000,37875,37945,37870,37945,1
20170711,043000,37970,37970,37890,37895,1
20170712,043000,37910,37920,37835,37840,1
20170713,043000,37835,37840,37810,37830,1
20170714,043000,37825,37835,37815,37820,1
20170715,043000,37850,37857,37815,37820,1
20170716,043000,37835,37835,37768,37775,1
20170717,043000,37780,37810,37775,37790,1
20170718,043000,37800,37800,37735,37740,1
20170719,043000,37765,37790,37757,37780,1
20170720,043000,37775,37780,37755,37760,1
20170721,043000,37755,37755,37745,37750,1
20170722,043000,37760,37768,37690,37690,1
20170723,043000,37695,37730,37685,37705,1
20170724,043000,37730,37730,37695,37705,1
20170725,043000,37723,37840,37723,37830,1
20170726,043000,37880,38055,37880,38025,1
20170727,043000,38010,38010,37890,37945,1
20170728,043000,37955,37970,37925,37960,1
20170729,043000,37980,38100,37940,38065,1
20170730,043000,38095,38140,38057,38075,1
20170731,043000,38085,38205,38075,38190,1
20170801,043000,38225,38250,38165,38190,1
20170802,043000,38220,38285,38200,38285,1
20170803,043000,38310,38385,38295,38340,1
20170804,043000,38335,38355,38325,38345,1
20170805,043000,38340,38345,38240,38245,1
20170806,043000,38280,38285,38107,38150,1
20170807,043000,38145,38150,38060,38080,1
20170808,043000,38075,38120,38050,38090,1
20170809,043000,38095,38110,38065,38080,1
20170810,043000,38060,38105,38060,38085,1
20170811,043000,38090,38140,38085,38110,1
20170812,043000,38125,38130,38095,38100,1
20170813,043000,38115,38115,38070,38105,1
20170814,043000,38107,38120,38087,38100,1
20170815,043000,38105,38175,38098,38155,1
20170816,043000,38170,38200,38160,38165,1
20170817,043000,38140,38170,38137,38160,1
20170818,043000,38155,38160,38145,38160,1
20170819,043000,38175,38260,38175,38225,1
20170820,043000,38240,38265,38220,38250,1
20170821,043000,38260,38297,38257,38270,1
20170822,043000,38288,38310,38270,38275,1
20170823,043000,38295,38365,38295,38365,1
20170824,043000,38370,38400,38360,38390,1
20170825,043000,38385,38390,38380,38380,1
20170826,043000,38415,38565,38415,38555,1
20170827,043000,38590,38775,38560,38580,1
20170828,043000,38590,38630,38535,38555,1
20170829,043000,38560,38810,38555,38795,1
20170830,043000,38800,38830,38725,38770,1
20170831,043000,38760,38780,38758,38770,1
20170901,043000,38775,38775,38765,38775,1
20170902,043000,38810,38980,38810,38875,1
20170903,043000,38895,38995,38895,38930,1
20170904,043000,38965,38980,38800,38800,1
20170905,043000,38830,38895,38780,38865,1
20170906,043000,38945,39058,38930,39040,1
20170907,043000,39070,39140,39070,39085,1
20170908,043000,39080,39105,39075,39075,1
20170909,043000,39070,39095,39065,39080,1
20170910,043000,39120,39135,38955,38960,1
20170911,043000,38980,39050,38945,39025,1
20170912,043000,39060,39210,39050,39205,1
20170913,043000,39285,39295,39150,39180,1
20170914,043000,39180,39185,39115,39125,1
20170915,043000,39120,39125,39105,39125,1
20170916,043000,39150,39170,39065,39075,1
20170917,043000,39100,39115,39005,39020,1
20170918,043000,39055,39075,38995,39010,1
20170919,043000,39050,39055,38945,38995,1
20170920,043000,39040,39135,38988,39080,1
20170921,043000,39085,39085,38975,38985,1
20170922,033000,38980,38990,38960,38960,1
20170923,033000,39040,39085,38940,38950,1
20170924,033000,38985,39025,38910,38945,1
20170925,033000,38990,39090,38975,39070,1
20170926,033000,39125,39170,39010,39010,1
20170927,033000,39150,39230,39120,39210,1
20170928,033000,39250,39270,39215,39230,1
20171002,033000,39260,39260,39200,39235,1
20171003,033000,39240,39325,39235,39310,1
20171004,033000,39380,39513,39375,39470,1
20171005,033000,39505,39580,39465,39580,1
20171006,033000,39600,39650,39550,39565,1
20171007,033000,39595,39900,39535,39895,1
20171008,033000,39900,40180,39840,40180,1
20171009,033000,40175,41000,40095,40830,1
20171010,033000,40780,40780,40195,40305,1
20171011,033000,40240,40550,40185,40435,1
20171012,033000,40460,40600,40410,40465,1
20171013,033000,40460,40480,40280,40310,1
20171014,033000,40220,40220,39955,39965,1
20171015,033000,39950,40230,39945,40150,1
20171016,033000,40250,40280,40120,40120,1
20171017,033000,40155,40255,40130,40245,1
20171018,033000,40315,40440,40300,40360,1
20171019,033000,40320,40330,40235,40260,1
20171020,033000,40250,40270,40215,40235,1
20171021,033000,40250,40285,40165,40185,1
20171022,033000,40230,40290,40190,40200,1
20171023,033000,40300,40360,40250,40320,1
20171024,033000,40405,40455,40360,40390,1
20171025,033000,40485,40490,40360,40370,1
20171026,033000,40380,40430,40355,40385,1
20171027,033000,40390,40390,40365,40385,1
20171028,033000,40510,40760,40500,40760,1
20171029,033000,40840,40960,40710,40775,1
20171030,033000,40850,40850,40580,40610,1
20171031,033000,40630,40700,40570,40665,1
20171101,033000,40750,40760,40660,40665,1
20171102,033000,40630,40635,40585,40595,1
20171103,033000,40600,40625,40595,40605,1
20171104,033000,40660,40660,40553,40555,1
20171105,033000,40580,40805,40570,40770,1
20171106,033000,40810,40900,40765,40770,1
20171107,033000,40840,40870,40690,40710,1
20171108,033000,40775,40805,40715,40755,1
20171110,033000,40775,40790,40755,40775,1
20171111,033000,40840,40935,40785,40885,1
20171112,033000,40930,41070,40930,41070,1
20171113,033000,41100,41450,41100,41320,1
20171114,033000,41355,41395,41115,41140,1
20171115,033000,41095,41125,41050,41075,1
20171116,033000,41050,41110,41030,41080,1
20171117,033000,41075,41095,41075,41090,1
20171118,033000,41070,41115,41030,41070,1
20171119,033000,41080,41080,41055,41070,1
20171120,033000,41080,41115,40980,40985,1
20171121,033000,41015,41135,40995,41135,1
20171122,033000,41250,41410,41220,41275,1
20171123,033000,41280,41305,41190,41220,1
20171124,033000,41230,41235,41205,41210,1
20171125,033000,41260,41345,41235,41245,1
20171126,033000,41250,41250,41155,41185,1
20171127,033000,41190,41195,41170,41175,1
20171128,033000,41235,41340,41195,41335,1
20171129,033000,41430,41555,41420,41470,1
20171130,033000,41475,41525,41435,41465,1
20171201,033000,41460,41475,41445,41450,1
20171202,033000,41490,41620,41485,41585,1
20171203,033000,41580,41710,41545,41625,1
20171204,033000,41680,41970,41680,41950,1
20171205,033000,42100,42190,41975,42040,1
20171206,033000,42030,42040,41930,41950,1
20171207,033000,41945,41970,41910,41945,1
20171208,033000,41940,41945,41855,41855,1
20171209,033000,41850,42130,41835,42070,1
20171210,033000,42000,42235,42000,42105,1
20171211,033000,42185,42275,42125,42210,1
20171212,033000,42275,42310,42140,42165,1
20171213,033000,42220,42295,42045,42070,1
20171214,033000,42050,42080,41995,42030,1
20171215,033000,42040,42120,42035,42115,1
20171216,033000,42075,42090,41770,41795,1
20171217,033000,41740,41845,41685,41705,1
20171218,033000,41720,41870,41720,41840,1
20171219,033000,41870,41960,41765,41780,1
20171220,033000,41805,41845,41690,41750,1
20171221,033000,41760,41825,41740,41775,1
20171222,033000,41770,41820,41765,41815,1
20171223,033000,41840,41905,41770,41875,1
20171224,033000,41880,41905,41780,41800,1
20171225,033000,41780,41795,41700,41765,1
20171226,033000,41740,41845,41710,41845,1
20171227,033000,41840,41955,41815,41875,1
20171228,033000,41885,42090,41885,42050,1
20171229,033000,42010,42050,41940,42030,1
20171230,033000,42095,42490,42055,42490,1
20171231,033000,42290,42910,42230,42670,1
20180101,033000,42500,43270,42500,42930,1
20180102,033000,42850,43320,42720,43280,1
