<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20210806,043000,25723,26065,25603,25621,6155839.585909573
20210807,043000,25648,25760,25327,25327,5071199.145238956
20210808,043000,25327,25480,25120,25261,9962825.947473858
20210809,043000,25259,25695,25053,25260,9062333.950150844
20210810,043000,25260,25950,25256,25799,8312259.034724861
20210811,043000,25799,26590,25713,26471,6480569.963639933
20210812,043000,26488,27119,26055,26974,8859182.010895634
20210813,043000,26974,27660,25743,26950,12306434.43577252
20210814,043000,26969,27152,26655,26750,5387951.446127973
20210815,043000,26750,26820,26287,26460,11814456.91553556
20210816,043000,26455,27350,25990,27143,11792165.830266025
20210817,043000,27140,27888,26749,27840,11545836.922067542
20210818,043000,27803,28346,27657,28295,11672267.39618874
20210819,043000,28294,28960,27656,28120,12407990.16302945
20210820,043000,28120,28387,27956,28007,6466426.47259955
20210821,043000,28010,28084,27500,27610,7122141.666089665
20210822,043000,27620,27751,27450,27519,6342251.502812827
20210823,043000,27489,27897,27235,27651,7189790.698050328
20210824,043000,27660,27848,27301,27541,9850343.627215425
20210825,043000,27551,28236,27508,28115,11569990.541758578
20210826,043000,28115,28450,28102,28216,9291977.344370656
20210827,043000,28268,28645,28103,28202,8102021.375760451
20210828,043000,28203,28439,28153,28295,4356930.575495436
20210829,043000,28290,28305,27760,27916,7591460.115440385
20210830,043000,27939,28139,27610,27768,7616184.487059678
20210831,043000,27765,27885,27206,27410,6719028.038403534
20210901,043000,27410,27750,27145,27345,7984964.0740130395
20210902,043000,27345,27700,27150,27220,5978060.350352438
20210903,043000,27211,27489,26952,27293,8194676.352389303
20210904,043000,27293,27495,27161,27214,6523578.680710553
20210905,043000,27214,27435,27013,27272,6517748.333334397
20210906,043000,27280,27400,26985,27085,7172659.506336225
20210907,043000,27085,27325,26946,27218,8234596.326092034
20210908,043000,27222,28485,27172,28258,18435643.079939105
20210909,043000,28231,28499,28003,28448,8982124.913638879
20210910,043000,28448,28537,28211,28461,5743819.3569892645
20210911,043000,28469,28629,28067,28512,7152095.759288386
20210912,043000,28512,28696,28210,28266,7969522.272546668
20210913,043000,28266,28419,27694,27710,6524796.095976901
20210914,043000,27706,28157,27501,28028,8785930.277890578
20210915,043000,28027,28145,27750,27800,5304880.28980315
20210916,043000,27819,27967,27626,27660,5427978.907093858
20210917,043000,27664,27822,27530,27775,4316359.47589363
20210918,043000,27775,28070,27600,27961,5845755.126776308
20210919,043000,27930,28100,27593,27722,4906452.448154924
20210920,043000,27722,27913,27700,27790,4685377.368074571
20210921,043000,27790,28306,27747,28104,10015205.282211212
20210922,033000,28106,28497,28000,28040,7862956.372815121
20210923,033000,28040,28297,27786,27792,6438715.419052297
20210924,033000,27792,28110,27780,27994,4610811.4922733465
20210925,033000,27994,28444,27830,28180,6832952.348641329
20210926,033000,28180,28292,28070,28215,4172491.841107473
20210927,033000,28126,28486,28126,28278,5671500.781176095
20210928,033000,28220,28382,28150,28263,3540838.6568256146
20210929,033000,28263,28645,28195,28532,5923780.872037932
20210930,033000,28532,28822,28300,28747,4737529.314477857
20211001,033000,28748,28794,28244,28410,5802268.852138677
20211002,033000,28410,28519,27944,28000,8457277.89932941
20211003,033000,28000,28088,27650,27720,7150520.663556074
20211004,033000,27720,28023,27715,27936,4533884.707220204
20211005,033000,27934,28436,27934,28086,6335168.880093468
20211006,033000,28087,28426,28014,28202,5136184.721799429
20211007,033000,28211,28350,27852,27959,9222208.000038764
20211008,033000,27959,28200,27840,27936,7178897.966602656
20211009,033000,27896,28151,27862,27964,4269868.713427947
20211010,033000,27960,28047,27488,27645,6525237.633982946
20211011,033000,27578,27819,27520,27680,5607064.710373188
20211012,033000,27679,27858,27424,27480,7577525.196430651
20211013,033000,27513,27654,27140,27220,7476750.397096076
20211014,033000,27180,27389,27115,27224,6032454.645000278
20211015,033000,27224,27310,26840,27000,6666145.309736643
20211016,033000,26990,27500,26900,27080,5601585.853412849
20211017,033000,27099,27186,26846,27015,6685662.873973305
20211018,033000,27012,27300,27010,27299,5416934.826957769
20211019,033000,27300,27405,26999,27251,6963139.177720462
20211020,033000,27285,27430,27178,27399,5431824.23506039
20211021,033000,27389,27497,27022,27075,8631082.41453058
20211022,033000,27075,27499,26953,27490,8062598.861039966
20211023,033000,27497,27652,27391,27500,5830959.671014412
20211024,033000,27501,27721,27431,27646,5031418.7781301
20211025,033000,27646,27700,27463,27541,5760657.637442215
20211026,033000,27557,27620,27323,27424,6846159.385383688
20211027,033000,27425,27749,27250,27395,7397121.25315813
20211028,033000,27391,28222,27377,27901,17239505.05079517
20211029,033000,27902,28149,27223,27540,15877198.181281144
20211030,033000,27540,27800,27432,27598,7190467.592599898
20211031,033000,27597,27810,27499,27621,7498819.159523196
20211101,033000,27634,27848,27601,27765,8565279.795052113
20211102,033000,27760,27979,27683,27750,7273181.180574613
20211103,033000,27750,27805,27599,27658,6949807.475983962
20211104,033000,27660,28006,27594,27854,8356368.753779526
20211105,033000,27854,28150,27825,28117,10005732.009039793
20211106,033000,28110,28293,27915,28216,6305323.144628939
20211107,033000,28215,28290,27936,28170,9461010.983589878
20211108,033000,28172,28219,28031,28130,6288855.643129143
20211109,033000,28130,28168,27803,27938,9357634.260660704
20211110,033000,27941,28213,27785,28172,9175145.507713329
20211111,033000,28197,28877,28152,28840,9559312.187874943
20211112,033000,28849,29770,28700,28873,16539052.114541877
20211113,033000,28875,29279,28860,29099,9916626.56197696
20211114,033000,29100,29200,28950,29010,6901097.963093373
20211115,033000,29037,29090,28700,28888,7144046.106771382
20211116,033000,28880,28944,28370,28550,8011050.59993648
20211117,033000,28550,29250,28517,28894,14827967.833752278
20211118,033000,28894,29411,28854,28989,8977252.738299197
20211119,033000,28988,29296,28752,28921,9620135.791595781
20211120,033000,28923,29097,28862,28906,5940474.794838924
20211121,033000,28906,28997,28542,28679,7016608.35025623
20211122,033000,28679,28938,28600,28800,6624363.562914182
20211123,033000,28810,29200,28790,29050,8956242.509337524
20211124,033000,29050,29199,28991,29119,7502464.452126547
20211125,033000,29080,29697,29050,29622,7594078.776924085
20211126,033000,29622,29743,29001,29341,6782400.960894654
20211127,033000,29343,30349,29343,30240,12817657.847570257
20211128,033000,30184,30448,29697,29745,7533991.966030568
20211129,033000,29750,30201,29750,30073,7506083.383413526
20211130,033000,30103,30171,29000,29405,7614883.017225649
20211201,033000,29436,29650,28947,29280,8903529.064465376
20211202,033000,29285,29600,29196,29590,5681953.82360102
20211203,033000,29590,30069,29590,29900,6557849.240361161
20211204,033000,29900,30600,29753,30585,6148577.303335048
20211205,033000,30580,33000,30361,31650,19027492.28405201
20211206,033000,31657,32034,31309,31427,8273129.354053989
20211207,033000,31431,31970,31262,31267,8341021.1134667015
20211208,033000,31275,31484,30800,30900,9406944.28610345
20211209,033000,30853,31267,30793,30853,5650522.428805204
20211210,033000,30852,31557,30771,31445,7132862.143714164
20211211,033000,31445,31891,31330,31569,7972998.8048080895
20211212,033000,31586,31950,30816,30898,6817425.898712422
20211213,033000,30898,31049,30395,30400,5514854.190147471
20211214,033000,30391,30850,30098,30225,8793741.701494899
20211215,033000,30225,30550,29870,30480,8232737.302988766
20211216,033000,30455,30646,30190,30210,5722261.668382414
20211217,033000,30287,30497,30089,30462,4623766.763786645
20211218,033000,30462,31070,30428,30774,7398086.794571656
20211219,033000,30772,30900,30220,30250,5019643.162731963
20211220,033000,30249,30350,30101,30202,3713734.904120239
20211221,033000,30203,30497,30138,30208,4675544.450559539
20211222,033000,30208,30276,29910,30010,6533302.722891519
20211223,033000,30010,30133,29806,29993,6530329.163287386
20211224,033000,29991,30170,29850,29960,5736982.663773866
20211225,033000,29960,30388,29800,30241,5491315.646482636
20211226,033000,30241,30434,30000,30008,3912233.2033040016
20211227,033000,30010,30155,29961,30000,4373023.703628626
20211228,033000,30014,30101,29880,29922,4868956.21026443
20211229,033000,29940,30297,29801,30066,11822739.460395992
20211230,033000,30066,30197,29942,30070,6819187.740631256
20211231,033000,30070,30488,30070,30355,5662486.728847196
20220101,033000,30345,30440,30202,30419,4475127.922496897
20220102,033000,30419,30480,30003,30035,4527747.889487564
20220103,033000,30035,30093,29760,29800,4670603.276416042
20220104,033000,29800,29898,29450,29700,4595760.3367797015
20220105,033000,29720,29790,29249,29285,5192106.050238381
20220106,033000,29285,29400,28750,29347,5191384.584783315
20220107,033000,29348,29900,29253,29711,7659529.458914851
20220108,033000,29711,30060,29307,29313,6023472.633655437
20220109,033000,29313,29397,28530,28700,6705204.939105294
20220110,033000,28700,28950,27830,28080,6441006.247513421
20220111,033000,28060,28825,27871,28540,5775140.217022517
20220112,033000,28538,28648,28221,28460,4464775.685458819
20220113,033000,28473,28760,28120,28203,5766565.42638379
20220114,033000,28203,28690,28161,28354,4188439.527679512
20220115,033000,28448,28547,28100,28298,4359005.793171184
20220116,033000,28262,28380,27851,28035,4558602.267710833
20220117,033000,27990,28118,27802,27817,3866810.311770017
20220118,033000,27832,28117,27525,27775,5230003.941035457
20220119,033000,27775,28046,27535,27970,4819380.543431504
20220120,033000,27970,28228,27826,28088,4632168.032936596
